"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2021","AirNow","180030004","3","6.9","ug/m3 LC","29","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"01/02/2021","AirNow","180030004","3","4.4","ug/m3 LC","18","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"01/03/2021","AirNow","180030004","3","5.2","ug/m3 LC","22","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"01/04/2021","AirNow","180030004","3","7.5","ug/m3 LC","31","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"01/05/2021","AirNow","180030004","3","10.3","ug/m3 LC","43","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"01/06/2021","AirNow","180030004","3","3.6","ug/m3 LC","15","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"01/07/2021","AirNow","180030004","3","2.5","ug/m3 LC","10","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"01/08/2021","AirNow","180030004","3","2.4","ug/m3 LC","10","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"01/09/2021","AirNow","180030004","3","7.3","ug/m3 LC","30","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"01/10/2021","AirNow","180030004","3","15.4","ug/m3 LC","58","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"01/11/2021","AirNow","180030004","3","9.8","ug/m3 LC","41","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"01/12/2021","AirNow","180030004","3","13","ug/m3 LC","53","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"01/13/2021","AirNow","180030004","3","12.5","ug/m3 LC","52","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"01/14/2021","AirNow","180030004","3","11.4","ug/m3 LC","48","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"01/15/2021","AirNow","180030004","3","6.1","ug/m3 LC","25","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"01/16/2021","AirNow","180030004","3","6.2","ug/m3 LC","26","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"01/17/2021","AirNow","180030004","3","4.4","ug/m3 LC","18","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"01/18/2021","AirNow","180030004","3","5.9","ug/m3 LC","25","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"01/19/2021","AirNow","180030004","3","7.2","ug/m3 LC","30","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"01/20/2021","AirNow","180030004","3","6.6","ug/m3 LC","28","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"01/21/2021","AirNow","180030004","3","1","ug/m3 LC","4","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"01/22/2021","AirNow","180030004","3","1.2","ug/m3 LC","5","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"01/23/2021","AirNow","180030004","3","5","ug/m3 LC","21","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"01/24/2021","AirNow","180030004","3","6.4","ug/m3 LC","27","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"01/25/2021","AirNow","180030004","3","12.1","ug/m3 LC","51","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"01/26/2021","AirNow","180030004","3","5.6","ug/m3 LC","23","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"02/02/2021","AirNow","180030004","3","3.5","ug/m3 LC","15","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"02/03/2021","AirNow","180030004","3","5.2","ug/m3 LC","22","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"02/04/2021","AirNow","180030004","3","12.9","ug/m3 LC","53","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"02/05/2021","AirNow","180030004","3","5.4","ug/m3 LC","23","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"02/06/2021","AirNow","180030004","3","3.9","ug/m3 LC","16","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"02/07/2021","AirNow","180030004","3","7.9","ug/m3 LC","33","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"02/08/2021","AirNow","180030004","3","19.1","ug/m3 LC","66","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"02/09/2021","AirNow","180030004","3","14.9","ug/m3 LC","57","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"02/10/2021","AirNow","180030004","3","14.1","ug/m3 LC","55","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"02/11/2021","AirNow","180030004","3","6","ug/m3 LC","25","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"02/12/2021","AirNow","180030004","3","8.2","ug/m3 LC","34","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"02/13/2021","AirNow","180030004","3","12","ug/m3 LC","50","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"02/14/2021","AirNow","180030004","3","5","ug/m3 LC","21","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"02/15/2021","AirNow","180030004","3","3","ug/m3 LC","13","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"02/16/2021","AirNow","180030004","3","4","ug/m3 LC","17","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"02/17/2021","AirNow","180030004","3","20.3","ug/m3 LC","68","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"02/18/2021","AirNow","180030004","3","12","ug/m3 LC","50","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"02/19/2021","AirNow","180030004","3","23.5","ug/m3 LC","75","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"02/20/2021","AirNow","180030004","3","20.5","ug/m3 LC","69","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"02/21/2021","AirNow","180030004","3","17.7","ug/m3 LC","63","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"02/22/2021","AirNow","180030004","3","10","ug/m3 LC","42","Ft. Wayne- Beacon St.","1","100.0000","88101","PM2.5 - Local Conditions","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.094965496","-85.101816308"
"01/01/2021","AirNow","180050008","3","7.1","ug/m3 LC","30","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"01/02/2021","AirNow","180050008","3","3.1","ug/m3 LC","13","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"01/03/2021","AirNow","180050008","3","6.3","ug/m3 LC","26","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"01/04/2021","AirNow","180050008","3","9.5","ug/m3 LC","40","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"01/05/2021","AirNow","180050008","3","8.6","ug/m3 LC","36","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"01/06/2021","AirNow","180050008","3","8","ug/m3 LC","33","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"01/07/2021","AirNow","180050008","3","5.9","ug/m3 LC","25","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"01/08/2021","AirNow","180050008","3","5.8","ug/m3 LC","24","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"01/09/2021","AirNow","180050008","3","11.4","ug/m3 LC","48","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"01/10/2021","AirNow","180050008","3","15.4","ug/m3 LC","58","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"01/11/2021","AirNow","180050008","3","14.7","ug/m3 LC","56","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"01/12/2021","AirNow","180050008","3","17.5","ug/m3 LC","62","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"01/13/2021","AirNow","180050008","3","14.3","ug/m3 LC","56","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"01/14/2021","AirNow","180050008","3","11.5","ug/m3 LC","48","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"01/15/2021","AirNow","180050008","3","4.6","ug/m3 LC","19","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"01/16/2021","AirNow","180050008","3","5.6","ug/m3 LC","23","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"01/17/2021","AirNow","180050008","3","5.3","ug/m3 LC","22","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"01/18/2021","AirNow","180050008","3","8.2","ug/m3 LC","34","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"01/19/2021","AirNow","180050008","3","6.9","ug/m3 LC","29","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"01/20/2021","AirNow","180050008","3","6.9","ug/m3 LC","29","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"01/21/2021","AirNow","180050008","3","4.4","ug/m3 LC","18","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"01/22/2021","AirNow","180050008","3","2.6","ug/m3 LC","11","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"01/23/2021","AirNow","180050008","3","8.2","ug/m3 LC","34","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"01/24/2021","AirNow","180050008","3","8.4","ug/m3 LC","35","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"01/25/2021","AirNow","180050008","3","10.5","ug/m3 LC","44","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"01/26/2021","AirNow","180050008","3","7.2","ug/m3 LC","30","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"01/27/2021","AirNow","180050008","3","6.3","ug/m3 LC","26","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"01/28/2021","AirNow","180050008","3","10.7","ug/m3 LC","45","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"01/29/2021","AirNow","180050008","3","11","ug/m3 LC","46","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"01/30/2021","AirNow","180050008","3","6.9","ug/m3 LC","29","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"01/31/2021","AirNow","180050008","3","7.7","ug/m3 LC","32","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"02/01/2021","AirNow","180050008","3","7.7","ug/m3 LC","32","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"02/02/2021","AirNow","180050008","3","7.6","ug/m3 LC","32","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"02/04/2021","AirNow","180050008","3","6.5","ug/m3 LC","27","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"02/05/2021","AirNow","180050008","3","5.4","ug/m3 LC","23","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"02/06/2021","AirNow","180050008","3","4.2","ug/m3 LC","18","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"02/07/2021","AirNow","180050008","3","6.5","ug/m3 LC","27","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"02/08/2021","AirNow","180050008","3","10.6","ug/m3 LC","44","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"02/09/2021","AirNow","180050008","3","23.2","ug/m3 LC","74","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"02/10/2021","AirNow","180050008","3","14.6","ug/m3 LC","56","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"02/11/2021","AirNow","180050008","3","12.3","ug/m3 LC","51","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"02/18/2021","AirNow","180050008","3","17.9","ug/m3 LC","63","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"02/19/2021","AirNow","180050008","3","19.5","ug/m3 LC","67","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"02/20/2021","AirNow","180050008","3","19.2","ug/m3 LC","66","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"02/21/2021","AirNow","180050008","3","9.9","ug/m3 LC","41","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"02/22/2021","AirNow","180050008","3","11.8","ug/m3 LC","49","Columbus- Rocky Ford Rd.","1","100.0000","88101","PM2.5 - Local Conditions","18020","Columbus, IN","18","Indiana","005","Bartholomew","39.237456874","-85.891331718"
"01/01/2021","AirNow","180190010","3","6.2","ug/m3 LC","26","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"01/02/2021","AirNow","180190010","3","6.9","ug/m3 LC","29","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"01/03/2021","AirNow","180190010","3","8.5","ug/m3 LC","35","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"01/04/2021","AirNow","180190010","3","18.9","ug/m3 LC","65","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"01/05/2021","AirNow","180190010","3","13.7","ug/m3 LC","54","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"01/06/2021","AirNow","180190010","3","10.3","ug/m3 LC","43","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"01/07/2021","AirNow","180190010","3","10","ug/m3 LC","42","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"01/08/2021","AirNow","180190010","3","9.7","ug/m3 LC","40","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"01/09/2021","AirNow","180190010","3","15.4","ug/m3 LC","58","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"01/10/2021","AirNow","180190010","3","24.9","ug/m3 LC","78","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"01/11/2021","AirNow","180190010","3","17.2","ug/m3 LC","62","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"01/12/2021","AirNow","180190010","3","19.8","ug/m3 LC","67","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"01/13/2021","AirNow","180190010","3","17.4","ug/m3 LC","62","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"01/14/2021","AirNow","180190010","3","12.3","ug/m3 LC","51","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"01/15/2021","AirNow","180190010","3","5.4","ug/m3 LC","23","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"01/16/2021","AirNow","180190010","3","8","ug/m3 LC","33","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"01/17/2021","AirNow","180190010","3","9.7","ug/m3 LC","40","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"01/18/2021","AirNow","180190010","3","10.7","ug/m3 LC","45","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"01/19/2021","AirNow","180190010","3","11.5","ug/m3 LC","48","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"01/20/2021","AirNow","180190010","3","8.7","ug/m3 LC","36","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"01/21/2021","AirNow","180190010","3","9.5","ug/m3 LC","40","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"01/22/2021","AirNow","180190010","3","6.9","ug/m3 LC","29","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"01/23/2021","AirNow","180190010","3","7.6","ug/m3 LC","32","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
